,floatnumber,precision,iteration,ratio
0,3.7,1,300,0.0
1,3.7,2,300,0.0
2,3.7,3,300,1.0
3,3.7,4,300,1.0
4,3.7,5,300,1.0
5,3.7,6,300,1.0
6,3.7,7,300,-0.6328
7,3.7,8,300,0.4902
8,3.7,9,300,-0.5449
9,3.7,10,300,-0.17969
10,3.7,11,300,0.12805
11,3.7,12,300,-0.075989
12,3.7,13,300,0.0014091
13,3.7,14,300,-0.0195065
14,3.7,15,300,0.00066644
15,3.7,16,300,-0.00372362
16,3.7,17,300,0.000828892
17,3.7,18,300,-0.0002106484
18,3.7,19,300,-0.0002042749
19,3.7,20,300,0.0001387971
20,3.7,21,300,0.00011406973
21,3.7,22,300,4.5870605e-05
22,3.7,23,300,-2.9915667e-05
23,3.7,24,300,-8.67537074e-06
24,3.7,25,300,-8.27650183e-06
25,3.7,26,300,-4.18812942e-06
26,3.7,27,300,5.235161922e-07
27,3.7,28,300,-7.042531358e-07
28,3.7,29,300,4.674246394e-07
29,3.7,30,300,1.4957593053e-07
30,3.7,31,300,-1.2854181486e-07
31,3.7,32,300,-5.8428093253e-08
32,3.7,33,300,2.1618394477e-08
33,3.7,34,300,3.70044596592e-09
34,3.7,35,300,2.23974361139e-09
35,3.7,36,300,-2.09367336592e-09
36,3.7,37,300,-1.971948170482e-09
37,3.7,38,300,-7.790412533617e-10
38,3.7,39,300,4.321244452082e-10
39,3.7,40,300,2.0845439780201e-10
40,3.7,41,300,-8.2925289636253e-11
41,3.7,42,300,-2.6246995345527e-11
42,3.7,43,300,-2.1301909265931e-11
43,3.7,44,300,-2.47254303974962e-12
44,3.7,45,300,-3.13822770429765e-12
45,3.7,46,300,2.044602898264e-12
46,3.7,47,300,1.901956184431194e-12
47,3.7,48,300,8.618238960694319e-13
48,3.7,49,300,-2.852934276643603e-13
49,3.7,50,300,-1.6344935959942026e-14
50,3.7,51,300,-2.674625884354163e-14
51,3.7,52,300,5.3863993504350588e-14
52,3.7,53,300,-1.0772798700870128e-14
53,3.7,54,300,-1.37446052390411916e-14
54,3.7,55,300,4.59701323873336819e-15
55,3.7,56,300,-4.55057876157444686e-15
56,3.7,57,300,2.205637665048838569e-16
57,3.7,58,300,2.089551472151531368e-16
58,3.7,59,300,1.886400634581243622e-16
59,3.7,60,300,2.2491699873853288474e-16
60,3.7,61,300,-7.3279409266425231483e-17
61,3.7,62,300,6.2759098035106757383e-17
62,3.7,63,300,-1.2696927348142985585e-18
63,3.7,64,300,-3.35561651343778905117e-18
64,3.7,65,300,-2.72077014603063976892e-18
65,3.7,66,300,-2.97017407608344841517e-18
66,3.7,67,300,1.213010023438660230571e-18
67,3.7,68,300,-9.069233820102132565533e-19
68,3.7,69,300,1.587115918517873198947e-19
69,3.7,70,300,1.1903369388884048992258e-19
70,3.7,71,300,-1.2541049891859980188219e-19
71,3.7,72,300,-1.0628008382932186600222e-21
72,3.7,73,300,1.4170677843909582133623e-21
73,3.7,74,300,-3.54266946097739553340793e-22
74,3.7,75,300,1.77133473048869776670368e-22
75,3.7,76,300,-1.99275157179978498754154e-22
76,3.7,77,300,-5.535421032777180520949259e-23
77,3.7,78,300,1.107084206555436104189785e-23
78,3.7,79,300,1.660626309833154156284704e-23
79,3.7,80,300,2.9060960422080197734981927e-23
80,3.7,81,300,1.5222407840137246432609656e-23
81,3.7,82,300,6.5733124764229018686269467e-24
82,3.7,83,300,9.1680410855372052378217762e-24
83,3.7,84,300,9.77347776099720935730056911e-24
84,3.7,85,300,-6.78953986051576048272650247e-24
85,3.7,86,300,1.66495085751501132856668991e-24
86,3.7,87,300,1.502780319445367367992012246e-24
87,3.7,88,300,-5.29757091027503604543946793e-25
88,3.7,89,300,5.054315103170570104577451591e-25
89,3.7,90,300,-6.7571057529018316906115661861e-27
90,3.7,91,300,-1.2838500930513480212161975957e-26
91,3.7,92,300,-1.3852066793448754965753710911e-26
92,3.7,93,300,-1.1149224492288022289509084402e-26
93,3.7,94,300,-1.17404712456669325624375964467e-26
94,3.7,95,300,4.51881447225309994309648496379e-27
95,3.7,96,300,-3.18850927715055182900733284839e-27
96,3.7,97,300,4.117611318174553686466423214548e-28
97,3.7,98,300,5.331778758149101568373189034387e-28
98,3.7,99,300,-4.566325372078190947171097539304e-28
